timestamp,model,params,fold,revenue_mae,cogs_mae,total_mae,lb_score,notes
2026-04-18 12:51:37,baseline_geo_full,growth=geo_full,primary_holdout,1384615.41,1341799.85,2726415.26,,
2026-04-18 12:51:40,prophet_default,log1p+mult+cps=0.05,primary_holdout,669584.11,635359.85,1304943.96,,
2026-04-18 12:51:42,detrended_lgbm_current,"growth=geo_full,drop_year",primary_holdout,778803.03,674630.27,1453433.3,,
2026-04-18 12:51:46,lgbm_plain_current,log1p+year+days_since,primary_holdout,657673.7,566251.06,1223924.77,,
2026-04-18 12:51:46,ensemble_current,w=0.40/0.31/0.29,primary_holdout,789385.3,746861.03,1536246.33,,
2026-04-18 13:00:45,baseline_geo_full_swNone_log0,"growth=geo_full,season_window=None,log=False,prophet_trend=False",primary_holdout,1384615.41,1341799.85,2726415.26,,
2026-04-18 13:00:45,baseline_geo_full_swNone_log1,"growth=geo_full,season_window=None,log=True,prophet_trend=False",primary_holdout,1401635.0,1354417.29,2756052.29,,
2026-04-18 13:00:45,baseline_geo_full_sw5_log0,"growth=geo_full,season_window=5,log=False,prophet_trend=False",primary_holdout,1428933.47,1372892.56,2801826.03,,
2026-04-18 13:00:45,baseline_geo_full_sw5_log1,"growth=geo_full,season_window=5,log=True,prophet_trend=False",primary_holdout,1444676.77,1384167.3,2828844.08,,
2026-04-18 13:00:45,baseline_geo_full_sw3_log0,"growth=geo_full,season_window=3,log=False,prophet_trend=False",primary_holdout,1438640.77,1373899.11,2812539.87,,
2026-04-18 13:00:45,baseline_geo_full_sw3_log1,"growth=geo_full,season_window=3,log=True,prophet_trend=False",primary_holdout,1448995.57,1379943.93,2828939.5,,
2026-04-18 13:00:45,baseline_geo_last3_swNone_log0,"growth=geo_last3,season_window=None,log=False,prophet_trend=False",primary_holdout,1599848.39,1515517.52,3115365.91,,
2026-04-18 13:00:45,baseline_geo_last3_swNone_log1,"growth=geo_last3,season_window=None,log=True,prophet_trend=False",primary_holdout,1614312.51,1526335.84,3140648.35,,
2026-04-18 13:00:45,baseline_geo_last3_sw5_log0,"growth=geo_last3,season_window=5,log=False,prophet_trend=False",primary_holdout,1640030.52,1543817.39,3183847.91,,
2026-04-18 13:00:45,baseline_geo_last3_sw5_log1,"growth=geo_last3,season_window=5,log=True,prophet_trend=False",primary_holdout,1653257.85,1553380.37,3206638.22,,
2026-04-18 13:00:45,baseline_geo_last3_sw3_log0,"growth=geo_last3,season_window=3,log=False,prophet_trend=False",primary_holdout,1646826.39,1543103.73,3189930.12,,
2026-04-18 13:00:45,baseline_geo_last3_sw3_log1,"growth=geo_last3,season_window=3,log=True,prophet_trend=False",primary_holdout,1655537.54,1548178.47,3203716.01,,
2026-04-18 13:00:45,baseline_linear_last3_swNone_log0,"growth=linear_last3,season_window=None,log=False,prophet_trend=False",primary_holdout,1546125.08,1491269.72,3037394.8,,
2026-04-18 13:00:45,baseline_linear_last3_swNone_log1,"growth=linear_last3,season_window=None,log=True,prophet_trend=False",primary_holdout,1561249.59,1502348.75,3063598.35,,
2026-04-18 13:00:45,baseline_linear_last3_sw5_log0,"growth=linear_last3,season_window=5,log=False,prophet_trend=False",primary_holdout,1587443.97,1519971.14,3107415.11,,
2026-04-18 13:00:45,baseline_linear_last3_sw5_log1,"growth=linear_last3,season_window=5,log=True,prophet_trend=False",primary_holdout,1601300.61,1529774.44,3131075.05,,
2026-04-18 13:00:45,baseline_linear_last3_sw3_log0,"growth=linear_last3,season_window=3,log=False,prophet_trend=False",primary_holdout,1595018.73,1519441.91,3114460.64,,
2026-04-18 13:00:45,baseline_linear_last3_sw3_log1,"growth=linear_last3,season_window=3,log=True,prophet_trend=False",primary_holdout,1604136.12,1524652.12,3128788.23,,
2026-04-18 13:00:45,baseline_linear_last5_swNone_log0,"growth=linear_last5,season_window=None,log=False,prophet_trend=False",primary_holdout,1532330.03,1467636.93,2999966.97,,
2026-04-18 13:00:45,baseline_linear_last5_swNone_log1,"growth=linear_last5,season_window=None,log=True,prophet_trend=False",primary_holdout,1547624.12,1478970.06,3026594.18,,
2026-04-18 13:00:45,baseline_linear_last5_sw5_log0,"growth=linear_last5,season_window=5,log=False,prophet_trend=False",primary_holdout,1573940.82,1496729.71,3070670.53,,
2026-04-18 13:00:45,baseline_linear_last5_sw5_log1,"growth=linear_last5,season_window=5,log=True,prophet_trend=False",primary_holdout,1587959.06,1506767.24,3094726.3,,
2026-04-18 13:00:45,baseline_linear_last5_sw3_log0,"growth=linear_last5,season_window=3,log=False,prophet_trend=False",primary_holdout,1581724.12,1496400.09,3078124.21,,
2026-04-18 13:00:45,baseline_linear_last5_sw3_log1,"growth=linear_last5,season_window=3,log=True,prophet_trend=False",primary_holdout,1590946.7,1501741.2,3092687.91,,
