feature,Revenue,COGS
Revenue_lag729,0.175712977939521,0.14856146023265987
y_cos1,0.17505864696058823,0.19114457331522922
day_of_year,0.07432043319171165,0.05804681039671798
day,0.06381014016891041,0.07362163741779039
y_sin1,0.05532422914295657,0.04077056191533482
is_anomaly_day,0.05303269498944591,0.05634275210308972
Revenue_rmean90_lag548,0.04669776882934317,0.047457283832461644
m_sin1,0.039641028714382076,0.05098537562133173
w_cos1,0.03423275807919402,0.033349654193665125
m_sin2,0.03296772519613124,0.03071851073955494
Revenue_rmean7_lag548,0.028776366685388428,0.027835277968484215
Revenue_rstd28_lag548,0.023039983893221698,0.030019999221919554
y_sin2,0.02015391306110305,0.009869086825905822
Revenue_rmean28_lag548,0.016385579156826188,0.01830372513298205
Revenue_rstd90_lag548,0.013683387464863814,0.016186378455031975
w_sin1,0.012380855727653184,0.010978064352693738
Revenue_lag1094,0.011127233868038516,0.009123802356357805
week_of_year,0.010979875683430592,0.01161102330307756
m_cos1,0.01058190291355395,0.010363199299694077
day_of_week,0.008857202276989967,0.008821416933319212
y_cos6,0.007661560445127869,0.01076871300136115
y_sin4,0.007508329566682395,0.004052836027653543
y_sin3,0.007465543131732311,0.00895055826882057
y_sin6,0.006309159280632784,0.008795587975654237
Revenue_rstd7_lag548,0.006292998859230145,0.005401374853403676
w_sin2,0.0053039103713132,0.006041558048712171
w_cos3,0.004847035297485065,0.005464856263343911
promo_active_count,0.004468678883807311,0.005703538725052036
Revenue_lag548,0.004415590749624755,0.005153957624251226
y_sin5,0.004394183491958162,0.005172075478771761
y_cos3,0.004281905076364198,0.0030977703790640307
y_cos5,0.004041504274841787,0.002610674756939942
month,0.003919983257243028,0.008738695848103516
y_cos2,0.0024938928258839265,0.002962077622869018
y_cos4,0.002414161642575075,0.003218984005565072
m_cos3,0.0022686111955858646,0.0022610298317410253
w_cos2,0.0017945417007616416,0.0022368204835902083
m_sin3,0.0015060446779897407,0.0010568052637871081
w_sin3,0.0014923734686240506,0.001250816124800235
m_cos2,0.0008591858392343729,0.0006786257056431897
is_month_end,0.00018311713875543518,9.775936557801851e-05
is_year_end,0.0,0.0
quarter,0.0,0.0
is_weekend,0.0,0.0
is_month_start,0.0,0.000192118959328854
is_quarter_end,0.0,0.0
